GEOID,County,S1901_C01_001E,S1901_C01_002E,S1901_C01_003E,S1901_C01_004E,S1901_C01_005E,S1901_C01_006E,S1901_C01_007E,S1901_C01_008E,S1901_C01_009E,S1901_C01_010E,S1901_C01_011E,Median_Household_Income,S1901_C01_013E,S1901_C01_014E,S1901_C01_015E,S1901_C01_016E
0500000US01001,"Autauga County, Alabama",21397,6.6,5.5,10.4,7.9,12.7,17.8,13.7,16.8,5.4,3.2,58731,75326,32.1,(X),(X)
0500000US01003,"Baldwin County, Alabama",80930,5.0,4.6,8.8,10.4,13.9,18.4,12.8,14.4,6.0,5.7,58320,80986,35.5,(X),(X)
0500000US01005,"Barbour County, Alabama",9345,14.9,8.5,17.6,11.7,14.2,13.3,8.2,8.0,2.0,1.6,32525,47068,40.3,(X),(X)
0500000US01007,"Bibb County, Alabama",6891,8.3,8.0,13.0,8.9,14.8,16.0,16.2,10.4,2.1,2.2,47542,60182,43.8,(X),(X)
0500000US01009,"Blount County, Alabama",20847,8.2,5.5,10.5,12.5,14.0,19.4,12.0,11.0,4.4,2.5,49358,65639,36.3,(X),(X)
0500000US01011,"Bullock County, Alabama",3521,15.5,9.7,10.6,13.2,11.3,19.8,7.0,10.3,0.8,1.8,37785,48571,54.0,(X),(X)
0500000US01013,"Butler County, Alabama",6506,9.5,8.1,13.3,11.7,16.9,14.7,12.6,9.6,1.3,2.2,40688,55971,43.6,(X),(X)
0500000US01015,"Calhoun County, Alabama",44605,8.0,6.6,12.2,11.5,13.6,18.8,11.6,11.8,3.6,2.2,47255,63417,37.2,(X),(X)
0500000US01017,"Chambers County, Alabama",13448,7.5,6.6,15.9,13.2,13.0,18.2,13.9,8.8,1.8,1.1,42289,53505,46.4,(X),(X)
0500000US01019,"Cherokee County, Alabama",10737,6.9,6.8,16.8,10.4,14.4,19.3,11.6,8.4,3.0,2.4,41919,57617,40.8,(X),(X)
0500000US01021,"Chilton County, Alabama",16927,8.4,6.8,12.6,12.1,11.8,19.8,12.7,10.3,3.0,2.5,47468,62784,40.6,(X),(X)
0500000US01023,"Choctaw County, Alabama",5300,11.2,9.4,15.0,13.2,13.9,11.6,10.2,10.3,4.2,0.9,35892,52395,30.2,(X),(X)
0500000US01025,"Clarke County, Alabama",9090,18.8,6.6,11.3,10.5,14.2,13.8,8.1,9.8,4.7,2.1,37404,54687,43.6,(X),(X)
0500000US01027,"Clay County, Alabama",5198,7.8,7.3,12.4,15.9,15.6,16.6,9.1,12.3,0.5,2.5,40845,57585,34.8,(X),(X)
0500000US01029,"Cleburne County, Alabama",5680,9.3,5.0,16.5,10.6,14.7,18.7,10.3,9.7,3.9,1.4,44741,57990,32.0,(X),(X)
0500000US01031,"Coffee County, Alabama",19924,7.1,5.3,9.1,11.0,13.5,18.1,12.4,15.7,4.8,3.1,55637,70079,38.4,(X),(X)
0500000US01033,"Colbert County, Alabama",21880,8.7,6.0,13.4,10.9,12.8,20.1,12.1,11.4,2.8,1.8,48065,60904,36.2,(X),(X)
0500000US01035,"Conecuh County, Alabama",4553,10.8,10.4,10.6,15.2,16.1,18.0,10.0,6.6,1.1,1.2,37837,47286,40.9,(X),(X)
0500000US01037,"Coosa County, Alabama",4032,5.2,8.7,15.1,15.0,17.3,14.7,11.6,6.5,4.3,1.6,38990,56017,38.2,(X),(X)
0500000US01039,"Covington County, Alabama",14852,9.8,7.1,13.6,12.6,13.4,16.7,12.2,9.3,3.5,1.8,42189,57075,38.7,(X),(X)
0500000US01041,"Crenshaw County, Alabama",4943,8.6,9.1,14.7,9.2,14.9,16.8,11.3,11.1,2.2,2.0,43163,61468,40.7,(X),(X)
0500000US01043,"Cullman County, Alabama",31034,7.7,5.4,13.1,11.7,16.7,17.9,12.3,9.4,3.6,2.2,44918,59909,38.7,(X),(X)
0500000US01045,"Dale County, Alabama",18806,8.4,5.6,13.6,10.5,14.7,19.0,11.8,10.4,3.5,2.4,47214,61001,39.7,(X),(X)
0500000US01047,"Dallas County, Alabama",15910,15.4,7.9,15.5,12.7,13.2,13.6,10.0,8.4,2.2,1.1,33845,47753,33.8,(X),(X)
0500000US01049,"DeKalb County, Alabama",26040,9.0,7.3,14.7,12.5,15.4,17.9,9.3,9.6,2.3,2.1,40440,56390,38.3,(X),(X)
0500000US01051,"Elmore County, Alabama",29708,5.7,3.7,9.4,9.8,12.4,19.3,13.1,16.9,5.2,4.5,60891,78370,33.5,(X),(X)
0500000US01053,"Escambia County, Alabama",13089,13.9,8.1,13.1,13.5,15.4,15.6,8.9,6.9,3.0,1.6,36275,50242,39.1,(X),(X)
0500000US01055,"Etowah County, Alabama",38942,7.7,6.0,15.0,12.2,14.3,17.2,12.0,10.7,2.7,2.4,44637,60379,39.6,(X),(X)
0500000US01057,"Fayette County, Alabama",6802,9.4,9.9,12.3,13.0,14.3,19.1,11.1,6.8,2.6,1.5,39856,53897,36.5,(X),(X)
0500000US01059,"Franklin County, Alabama",11048,6.7,5.0,15.8,10.8,18.4,17.6,14.2,6.3,3.4,1.9,43514,56907,33.9,(X),(X)
0500000US01061,"Geneva County, Alabama",10383,10.3,8.4,14.8,9.0,16.7,15.2,11.5,11.4,1.5,1.1,41732,53077,38.4,(X),(X)
0500000US01063,"Greene County, Alabama",2951,20.2,17.2,13.2,14.0,9.4,12.1,7.1,4.1,1.7,0.9,24145,36431,49.0,(X),(X)
0500000US01065,"Hale County, Alabama",5650,15.8,10.7,11.9,12.1,11.2,17.3,8.7,7.9,3.0,1.5,34046,51992,52.5,(X),(X)
0500000US01067,"Henry County, Alabama",6630,8.6,6.1,11.5,10.6,13.2,19.7,13.1,11.3,4.2,1.8,50017,62696,39.9,(X),(X)
0500000US01069,"Houston County, Alabama",39311,8.3,6.0,12.3,11.0,14.4,17.4,10.8,11.7,4.1,4.0,47580,67855,41.5,(X),(X)
0500000US01071,"Jackson County, Alabama",20695,9.4,8.2,12.1,12.2,16.1,18.0,10.7,9.5,1.9,1.8,41769,54808,34.7,(X),(X)
0500000US01073,"Jefferson County, Alabama",261231,8.4,5.5,10.1,10.0,12.8,16.9,11.6,13.2,5.4,6.1,53901,78812,39.6,(X),(X)
0500000US01075,"Lamar County, Alabama",5856,7.7,11.4,13.8,13.0,14.1,17.5,8.1,10.7,2.4,1.2,38364,54252,35.1,(X),(X)
0500000US01077,"Lauderdale County, Alabama",38471,7.0,5.6,12.6,11.3,15.2,17.8,12.7,11.4,3.4,3.0,48094,65763,43.8,(X),(X)
0500000US01079,"Lawrence County, Alabama",12677,9.1,6.1,13.3,11.5,15.5,17.3,8.8,13.2,3.9,1.3,44886,58315,34.1,(X),(X)
0500000US01081,"Lee County, Alabama",60237,12.1,5.2,11.1,8.7,11.7,16.6,11.6,13.0,5.5,4.5,51463,71547,35.4,(X),(X)
0500000US01083,"Limestone County, Alabama",32143,6.1,4.6,10.7,9.9,11.1,17.2,13.7,16.0,6.0,4.7,59686,77275,32.0,(X),(X)
0500000US01085,"Lowndes County, Alabama",4251,13.8,14.4,18.0,9.0,13.0,12.0,7.9,8.9,1.9,1.1,30036,47139,36.5,(X),(X)
0500000US01087,"Macon County, Alabama",7474,16.4,7.3,14.9,12.7,14.9,13.3,9.2,6.3,3.1,1.8,33370,50091,60.2,(X),(X)
0500000US01089,"Madison County, Alabama",148189,5.4,5.0,8.9,8.6,11.5,15.8,12.3,16.5,8.4,7.5,65449,88291,28.6,(X),(X)
0500000US01091,"Marengo County, Alabama",7361,17.6,8.1,15.2,10.6,10.6,14.7,8.3,9.9,3.3,1.5,33241,54556,35.3,(X),(X)
0500000US01093,"Marion County, Alabama",11997,8.1,12.0,16.1,13.1,14.5,16.1,8.7,8.2,1.5,1.7,35930,50367,31.2,(X),(X)
0500000US01095,"Marshall County, Alabama",34883,7.5,6.8,13.1,10.1,15.9,18.3,11.0,11.0,2.8,3.4,45983,63834,41.9,(X),(X)
0500000US01097,"Mobile County, Alabama",156251,9.5,5.7,12.7,10.6,13.4,18.2,11.2,11.5,4.0,3.3,47583,64948,37.1,(X),(X)
0500000US01099,"Monroe County, Alabama",8166,21.2,9.3,13.2,10.4,11.0,13.3,8.8,8.2,2.6,2.0,30441,48659,50.7,(X),(X)
0500000US01101,"Montgomery County, Alabama",89527,9.2,5.6,11.5,10.1,13.6,17.7,11.6,11.9,4.4,4.5,50124,70975,36.2,(X),(X)
0500000US01103,"Morgan County, Alabama",45918,7.1,5.1,11.2,12.2,12.4,19.1,13.0,12.4,4.4,3.1,52156,68318,35.0,(X),(X)
0500000US01105,"Perry County, Alabama",3070,19.5,12.2,22.3,13.4,11.9,8.5,4.2,6.3,1.5,0.2,23447,35819,40.6,(X),(X)
0500000US01107,"Pickens County, Alabama",7637,10.6,11.0,14.2,9.8,12.2,16.8,10.2,9.9,3.2,2.1,39848,56370,37.8,(X),(X)
0500000US01109,"Pike County, Alabama",11601,16.6,7.0,14.1,9.8,13.5,14.1,8.9,8.5,5.3,2.2,37446,57838,41.2,(X),(X)
0500000US01111,"Randolph County, Alabama",8702,9.1,8.9,11.7,13.3,13.1,21.2,8.5,9.4,2.5,2.4,43395,58836,38.3,(X),(X)
0500000US01113,"Russell County, Alabama",23262,12.0,7.2,12.9,10.4,13.2,19.5,10.7,7.4,4.4,2.2,42443,55932,39.5,(X),(X)
0500000US01115,"St. Clair County, Alabama",32036,5.6,4.2,10.0,9.4,12.8,21.3,14.0,15.7,4.6,2.6,58308,70326,37.1,(X),(X)
0500000US01117,"Shelby County, Alabama",79630,3.9,3.2,6.6,6.2,10.8,17.6,14.1,20.5,8.4,8.8,77799,100262,31.2,(X),(X)
0500000US01119,"Sumter County, Alabama",5202,24.7,8.8,18.0,11.6,9.3,12.2,7.1,6.7,0.7,0.9,24320,38978,24.9,(X),(X)
0500000US01121,"Talladega County, Alabama",31395,9.9,7.3,14.3,13.0,12.4,16.7,11.5,10.2,3.0,1.7,41325,57269,38.1,(X),(X)
0500000US01123,"Tallapoosa County, Alabama",16205,9.6,7.7,12.1,11.2,12.6,19.8,10.3,10.2,3.6,2.8,45828,60734,38.1,(X),(X)
0500000US01125,"Tuscaloosa County, Alabama",72461,8.7,5.6,10.0,9.9,12.6,18.2,12.0,13.7,5.2,4.1,53326,71528,44.1,(X),(X)
0500000US01127,"Walker County, Alabama",25019,8.9,6.6,12.9,10.9,15.2,16.6,12.9,11.1,3.0,1.8,43629,59159,40.3,(X),(X)
0500000US01129,"Washington County, Alabama",5990,11.3,7.2,11.1,13.4,14.4,15.6,9.5,11.1,4.7,1.6,41370,60489,37.1,(X),(X)
0500000US01131,"Wilcox County, Alabama",3854,15.6,10.7,17.4,10.2,18.3,13.4,6.2,5.5,1.2,1.6,31014,42500,43.7,(X),(X)
0500000US01133,"Winston County, Alabama",9592,7.7,9.1,18.6,13.9,13.1,15.7,9.9,7.9,2.0,2.0,35788,53167,37.2,(X),(X)
0500000US02013,"Aleutians East Borough, Alaska",890,3.6,4.2,10.4,9.6,10.0,17.1,16.0,18.0,5.5,5.7,69250,79535,34.2,(X),(X)
0500000US02016,"Aleutians West Census Area, Alaska",1187,1.8,2.1,4.6,5.6,6.2,17.7,20.7,22.1,10.3,8.9,87466,101964,34.3,(X),(X)
0500000US02020,"Anchorage Municipality, Alaska",106567,3.2,2.1,5.1,6.3,9.9,17.4,13.8,20.5,10.8,10.8,84928,109988,30.0,(X),(X)
0500000US02050,"Bethel Census Area, Alaska",4489,8.1,5.6,11.0,9.8,12.1,17.3,10.8,14.5,6.5,4.3,53553,70804,52.7,(X),(X)
0500000US02060,"Bristol Bay Borough, Alaska",314,2.9,1.3,7.0,8.3,7.6,17.5,16.6,22.3,9.6,7.0,79808,96032,21.3,(X),(X)
0500000US02068,"Denali Borough, Alaska",613,3.6,3.1,4.9,4.6,15.8,15.8,15.7,26.4,6.4,3.8,81719,85694,27.9,(X),(X)
0500000US02070,"Dillingham Census Area, Alaska",1427,5.5,4.3,10.4,10.5,14.9,17.7,12.8,13.3,7.2,3.4,56898,72576,50.9,(X),(X)
0500000US02090,"Fairbanks North Star Borough, Alaska",36188,3.3,2.6,5.6,6.9,11.3,18.6,15.3,18.7,9.6,8.1,76992,96615,31.5,(X),(X)
0500000US02100,"Haines Borough, Alaska",1007,4.2,6.2,10.9,9.1,12.3,14.8,12.1,25.0,2.5,2.9,58059,72356,24.2,(X),(X)
0500000US02105,"Hoonah-Angoon Census Area, Alaska",791,4.6,3.5,10.0,8.8,13.8,23.6,10.7,13.8,7.2,3.9,59803,76767,31.1,(X),(X)
0500000US02110,"Juneau City and Borough, Alaska",12676,3.2,2.9,4.9,3.8,8.2,17.4,16.3,22.7,11.1,9.5,88390,107328,28.7,(X),(X)
0500000US02122,"Kenai Peninsula Borough, Alaska",21630,5.1,4.7,9.1,7.4,11.5,17.6,13.2,17.0,7.9,6.5,66064,85348,34.1,(X),(X)
0500000US02130,"Ketchikan Gateway Borough, Alaska",5397,3.1,4.0,8.1,8.5,10.2,17.6,13.7,17.7,9.5,7.5,72728,92764,31.5,(X),(X)
0500000US02150,"Kodiak Island Borough, Alaska",4261,3.5,1.8,7.1,5.7,7.1,20.5,13.4,27.2,7.0,6.8,85839,94946,35.4,(X),(X)
0500000US02158,"Kusilvak Census Area, Alaska",1724,10.1,7.9,15.0,14.3,17.1,18.4,7.8,6.1,2.1,1.2,36754,47654,47.2,(X),(X)
0500000US02164,"Lake and Peninsula Borough, Alaska",421,7.1,6.9,13.8,13.1,14.5,18.3,9.7,11.4,3.6,1.7,44135,58583,29.2,(X),(X)
0500000US02170,"Matanuska-Susitna Borough, Alaska",31217,5.7,2.8,7.4,7.1,10.0,16.7,13.3,20.2,9.5,7.2,75493,92246,34.8,(X),(X)
0500000US02180,"Nome Census Area, Alaska",2844,6.2,3.1,10.4,9.8,11.3,19.2,14.6,14.1,5.8,5.5,61048,76581,52.7,(X),(X)
0500000US02185,"North Slope Borough, Alaska",1979,4.4,2.6,7.5,7.1,11.2,15.4,13.4,19.1,9.9,9.4,79306,94169,45.6,(X),(X)
0500000US02188,"Northwest Arctic Borough, Alaska",1795,7.4,4.0,10.1,8.1,13.7,16.0,10.9,15.3,8.3,6.2,60906,79967,53.4,(X),(X)
0500000US02195,"Petersburg Borough, Alaska",1187,3.2,2.1,8.4,11.1,8.9,19.7,13.1,15.3,8.3,9.8,69948,92572,34.1,(X),(X)
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",2371,6.8,5.2,11.6,11.3,13.9,16.6,14.4,13.0,4.6,2.6,52379,66387,25.2,(X),(X)
0500000US02220,"Sitka City and Borough, Alaska",3547,4.1,3.9,7.6,5.9,9.9,20.0,16.9,16.8,9.2,5.7,73682,90196,26.9,(X),(X)
0500000US02230,"Skagway Municipality, Alaska",375,1.3,0.5,4.3,6.4,12.8,25.6,17.1,25.9,4.3,1.9,73906,82263,25.3,(X),(X)
0500000US02240,"Southeast Fairbanks Census Area, Alaska",2170,4.5,5.6,9.0,7.2,10.0,16.5,14.7,21.2,6.6,4.7,70056,80810,33.3,(X),(X)
0500000US02261,"Valdez-Cordova Census Area, Alaska",3177,4.6,2.8,4.0,8.7,10.8,17.4,15.5,18.1,7.5,10.8,79867,96106,30.2,(X),(X)
0500000US02275,"Wrangell City and Borough, Alaska",1027,3.7,3.0,12.9,11.7,14.5,17.6,11.7,16.1,5.7,3.1,53894,71889,26.0,(X),(X)
0500000US02282,"Yakutat City and Borough, Alaska",219,2.3,2.3,7.8,9.1,10.5,20.1,24.7,15.5,5.5,2.3,71607,76895,26.5,(X),(X)
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",1856,14.5,6.9,12.7,11.0,12.7,18.7,9.6,8.0,4.7,1.2,41413,53438,38.3,(X),(X)
0500000US04001,"Apache County, Arizona",20867,21.6,7.0,13.1,10.7,13.9,15.0,7.9,8.1,2.0,0.7,32508,44477,57.9,(X),(X)
0500000US04003,"Cochise County, Arizona",50163,6.8,5.9,12.7,10.9,14.3,18.3,12.4,12.2,3.6,2.9,49260,64446,30.3,(X),(X)
0500000US04005,"Coconino County, Arizona",47447,8.2,5.3,8.8,7.8,12.8,18.0,14.4,13.2,6.2,5.3,59460,77638,38.0,(X),(X)
0500000US04007,"Gila County, Arizona",21945,9.0,6.3,11.7,13.2,16.0,17.1,11.9,9.5,3.4,1.9,43524,58074,33.0,(X),(X)
0500000US04009,"Graham County, Arizona",11017,9.8,6.3,10.0,8.8,13.8,20.6,14.3,11.8,3.3,1.5,51353,60143,55.1,(X),(X)
0500000US04011,"Greenlee County, Arizona",3132,3.5,4.2,6.0,7.7,16.8,25.0,14.4,16.7,4.4,1.4,63473,74470,50.6,(X),(X)
0500000US04012,"La Paz County, Arizona",9346,15.4,5.5,18.1,11.4,12.3,17.8,11.3,5.6,1.2,1.5,34643,48900,31.4,(X),(X)
0500000US04013,"Maricopa County, Arizona",1552096,5.5,3.3,7.9,8.7,13.0,18.3,13.3,15.8,6.8,7.5,64468,89019,36.6,(X),(X)
0500000US04015,"Mohave County, Arizona",86889,6.7,5.3,13.6,12.9,15.4,20.5,11.0,9.4,2.7,2.3,45587,60395,38.3,(X),(X)
0500000US04017,"Navajo County, Arizona",34990,13.3,6.8,12.9,11.1,14.4,16.9,10.5,8.9,3.5,1.6,40067,54678,38.3,(X),(X)
0500000US04019,"Pima County, Arizona",404739,7.2,4.8,10.6,10.2,14.3,18.2,12.3,12.7,4.9,4.7,53379,73554,33.6,(X),(X)
0500000US04021,"Pinal County, Arizona",141300,6.9,3.3,8.9,9.8,13.6,21.3,14.4,14.3,4.6,2.9,58174,71325,39.9,(X),(X)
0500000US04023,"Santa Cruz County, Arizona",15853,9.8,6.4,13.7,14.9,12.8,17.1,9.4,9.8,3.1,3.0,41259,61551,36.6,(X),(X)
0500000US04025,"Yavapai County, Arizona",98386,5.8,4.7,11.1,11.3,14.7,21.1,12.2,12.1,3.7,3.2,52451,68419,39.5,(X),(X)
0500000US04027,"Yuma County, Arizona",73098,8.3,5.1,12.7,13.1,15.3,18.6,12.0,10.1,3.0,1.8,45243,59526,37.3,(X),(X)
0500000US05001,"Arkansas County, Arkansas",7491,10.0,9.7,9.9,10.0,13.6,19.7,9.9,10.6,3.7,2.8,46696,61946,41.4,(X),(X)
0500000US05003,"Ashley County, Arkansas",7757,8.0,9.8,12.6,9.6,15.3,18.3,11.1,11.5,1.7,2.2,44744,59845,50.3,(X),(X)
0500000US05005,"Baxter County, Arkansas",18435,5.6,5.0,14.3,14.9,19.0,19.3,8.7,8.7,2.8,1.7,42260,59206,33.7,(X),(X)
0500000US05007,"Benton County, Arkansas",97249,3.6,3.5,7.9,8.2,13.0,19.6,14.0,15.4,6.6,8.2,66362,92398,31.7,(X),(X)
0500000US05009,"Boone County, Arkansas",15034,6.5,5.2,12.0,13.2,18.4,17.2,12.8,9.0,2.9,2.7,45374,60651,41.5,(X),(X)
0500000US05011,"Bradley County, Arkansas",4419,10.2,5.9,14.2,10.5,15.8,17.2,9.1,10.7,4.5,1.8,43184,56779,58.0,(X),(X)
0500000US05013,"Calhoun County, Arkansas",1850,7.7,4.6,13.6,10.9,16.1,19.2,11.9,8.8,6.9,0.3,46417,58285,51.2,(X),(X)
0500000US05015,"Carroll County, Arkansas",11139,5.8,6.7,13.7,12.1,15.6,21.0,10.5,8.9,2.6,3.1,46110,62300,37.4,(X),(X)
0500000US05017,"Chicot County, Arkansas",4068,15.1,9.3,14.8,12.6,15.3,14.2,9.3,5.2,1.8,2.5,34147,50528,60.8,(X),(X)
0500000US05019,"Clark County, Arkansas",8446,10.7,5.0,15.1,12.9,12.9,16.5,13.5,10.0,2.3,1.2,41620,54473,45.0,(X),(X)
0500000US05021,"Clay County, Arkansas",6444,10.3,12.6,12.3,11.3,15.3,19.2,7.6,8.3,1.3,1.7,37233,50617,31.4,(X),(X)
0500000US05023,"Cleburne County, Arkansas",10783,5.9,6.4,12.5,13.6,15.9,20.6,10.2,8.2,4.0,2.6,44483,61420,34.7,(X),(X)
0500000US05025,"Cleveland County, Arkansas",3217,6.1,7.3,14.6,9.4,16.5,17.5,11.4,11.7,3.0,2.5,46684,59231,41.2,(X),(X)
0500000US05027,"Columbia County, Arkansas",8562,10.1,12.0,14.0,12.6,12.7,17.3,7.6,10.2,1.3,2.3,36193,54263,43.3,(X),(X)
0500000US05029,"Conway County, Arkansas",8309,6.7,7.1,16.0,13.5,12.3,18.7,10.0,9.4,3.8,2.3,42802,61828,28.7,(X),(X)
0500000US05031,"Craighead County, Arkansas",41375,7.0,5.5,14.0,11.9,13.9,16.7,12.3,11.5,3.8,3.5,47286,67880,31.4,(X),(X)
0500000US05033,"Crawford County, Arkansas",23958,7.4,4.4,12.7,12.6,16.7,17.8,12.5,11.4,2.9,1.6,46828,62144,39.0,(X),(X)
0500000US05035,"Crittenden County, Arkansas",19074,8.1,6.8,16.6,12.8,13.6,15.9,10.7,10.6,2.4,2.5,40161,57972,31.5,(X),(X)
0500000US05037,"Cross County, Arkansas",6653,7.0,7.2,11.0,15.8,11.2,18.6,13.0,10.2,3.3,2.7,46787,63421,35.6,(X),(X)
0500000US05039,"Dallas County, Arkansas",2969,12.5,8.4,16.2,11.0,15.5,19.6,7.8,7.3,0.9,0.7,38072,45536,44.8,(X),(X)
0500000US05041,"Desha County, Arkansas",5204,10.1,11.0,16.2,15.6,14.1,15.4,9.8,5.4,0.4,2.1,31893,45429,48.9,(X),(X)
0500000US05043,"Drew County, Arkansas",7157,13.1,6.2,11.8,11.5,8.8,16.3,13.4,13.7,2.4,2.8,46997,64337,53.0,(X),(X)
0500000US05045,"Faulkner County, Arkansas",44575,8.4,4.5,10.9,11.0,13.0,17.6,11.7,14.9,4.5,3.4,52827,70726,27.9,(X),(X)
0500000US05047,"Franklin County, Arkansas",6723,12.9,8.3,11.8,12.1,15.2,17.2,10.6,8.5,2.1,1.2,38923,50816,37.3,(X),(X)
0500000US05049,"Fulton County, Arkansas",4973,6.8,10.4,19.2,13.2,13.3,18.0,9.6,6.8,2.4,0.4,35405,47206,33.8,(X),(X)
0500000US05051,"Garland County, Arkansas",40209,7.8,6.7,12.9,11.6,15.4,19.0,11.2,8.8,3.8,2.8,44777,63652,36.0,(X),(X)
0500000US05053,"Grant County, Arkansas",6863,6.2,7.5,11.0,7.3,13.1,18.6,12.4,15.8,6.6,1.3,55388,71564,34.4,(X),(X)
0500000US05055,"Greene County, Arkansas",17254,7.7,4.6,12.6,11.7,15.6,18.9,12.7,12.2,2.2,1.8,47056,60189,31.2,(X),(X)
0500000US05057,"Hempstead County, Arkansas",8094,7.3,5.0,15.1,14.6,12.7,19.9,13.7,9.0,1.4,1.3,42860,55612,41.7,(X),(X)
0500000US05059,"Hot Spring County, Arkansas",12599,6.0,8.6,14.1,12.8,13.9,20.8,10.2,9.8,2.7,1.0,43889,56264,41.8,(X),(X)
0500000US05061,"Howard County, Arkansas",5142,9.3,7.9,19.2,13.0,13.2,14.1,9.1,7.9,3.6,2.8,36059,57580,34.8,(X),(X)
0500000US05063,"Independence County, Arkansas",14322,5.9,6.4,14.4,14.1,14.2,20.2,12.1,7.7,2.7,2.2,44319,60581,35.9,(X),(X)
0500000US05065,"Izard County, Arkansas",4851,7.7,7.2,12.5,16.0,13.9,17.7,16.3,5.9,2.1,0.8,42876,54216,33.6,(X),(X)
0500000US05067,"Jackson County, Arkansas",6137,8.8,9.4,18.3,14.5,16.2,13.6,6.8,7.3,2.3,2.7,34109,53156,29.4,(X),(X)
0500000US05069,"Jefferson County, Arkansas",26801,10.5,8.5,13.3,11.3,15.7,17.8,10.4,8.2,2.4,1.9,40726,54417,41.2,(X),(X)
0500000US05071,"Johnson County, Arkansas",9682,8.5,7.4,14.7,15.1,17.4,17.1,8.1,7.6,2.6,1.5,38511,52147,37.6,(X),(X)
0500000US05073,"Lafayette County, Arkansas",2784,14.7,8.4,15.7,14.7,10.4,13.8,8.4,8.2,3.3,2.4,32397,60652,45.3,(X),(X)
0500000US05075,"Lawrence County, Arkansas",6463,8.2,6.1,15.9,13.3,16.5,18.9,10.6,7.1,2.2,1.2,39993,53357,33.3,(X),(X)
0500000US05077,"Lee County, Arkansas",3206,18.4,9.4,17.2,9.4,10.3,13.9,11.6,6.6,2.2,0.7,29681,45765,40.1,(X),(X)
0500000US05079,"Lincoln County, Arkansas",3773,8.4,6.9,14.4,12.8,12.5,20.6,11.7,8.3,1.3,3.0,46596,58167,51.9,(X),(X)
0500000US05081,"Little River County, Arkansas",5363,7.5,6.4,16.7,10.1,14.9,17.5,11.1,11.8,1.9,2.1,45113,59109,40.0,(X),(X)
0500000US05083,"Logan County, Arkansas",8417,7.1,7.9,13.2,12.6,19.4,19.8,9.6,6.2,2.5,1.6,41466,52925,44.6,(X),(X)
0500000US05085,"Lonoke County, Arkansas",26895,6.0,4.7,9.1,9.0,13.5,19.7,14.7,14.5,5.6,3.3,59094,72425,31.4,(X),(X)
0500000US05087,"Madison County, Arkansas",6279,7.6,7.1,17.9,11.5,12.3,15.4,12.2,10.2,3.2,2.6,41682,61176,41.8,(X),(X)
0500000US05089,"Marion County, Arkansas",6782,10.0,9.7,12.6,15.7,16.0,18.1,9.7,5.0,1.4,1.8,36719,48180,40.4,(X),(X)
0500000US05091,"Miller County, Arkansas",16426,9.9,6.3,14.7,10.0,14.6,15.2,11.7,11.5,4.2,1.9,43371,59733,43.3,(X),(X)
0500000US05093,"Mississippi County, Arkansas",16389,8.7,7.1,17.4,12.3,13.2,17.1,9.4,9.3,3.5,2.1,39962,56558,42.7,(X),(X)
0500000US05095,"Monroe County, Arkansas",3333,13.2,9.3,12.9,12.4,14.2,13.7,12.9,8.5,1.3,1.7,38468,49632,46.6,(X),(X)
0500000US05097,"Montgomery County, Arkansas",3754,9.0,7.8,18.0,14.6,15.2,16.9,7.4,8.4,0.6,2.1,35741,49849,37.8,(X),(X)
0500000US05099,"Nevada County, Arkansas",3397,10.4,9.1,12.0,14.0,16.3,22.5,5.7,9.1,0.4,0.5,38042,45948,44.7,(X),(X)
0500000US05101,"Newton County, Arkansas",2936,8.8,13.1,13.2,12.3,15.9,16.6,10.3,8.6,0.7,0.6,38082,47594,35.0,(X),(X)
0500000US05103,"Ouachita County, Arkansas",9658,9.9,10.3,14.6,14.8,12.9,16.4,9.3,8.6,1.8,1.4,35425,50129,50.1,(X),(X)
0500000US05105,"Perry County, Arkansas",3668,8.0,4.6,13.7,11.0,14.5,15.7,14.5,13.1,3.2,1.7,48667,61422,49.3,(X),(X)
0500000US05107,"Phillips County, Arkansas",7485,17.0,12.0,15.3,11.4,10.8,14.6,9.4,7.1,1.0,1.4,29320,44558,38.4,(X),(X)
0500000US05109,"Pike County, Arkansas",4280,5.5,7.1,17.0,15.9,14.3,17.6,7.2,11.0,2.6,1.7,40401,56352,42.4,(X),(X)
0500000US05111,"Poinsett County, Arkansas",9526,9.1,7.2,15.1,11.6,15.8,22.3,9.4,6.5,2.3,0.8,40921,51257,33.4,(X),(X)
0500000US05113,"Polk County, Arkansas",8243,8.3,9.0,15.3,12.3,19.3,17.1,7.4,6.7,1.6,2.9,37974,55295,35.6,(X),(X)
0500000US05115,"Pope County, Arkansas",22579,7.7,7.3,13.2,13.8,14.0,17.7,8.7,10.9,3.6,3.0,43462,61268,33.7,(X),(X)
0500000US05117,"Prairie County, Arkansas",3776,8.8,8.3,12.8,13.9,13.7,16.2,12.3,7.9,2.9,3.1,42660,57282,60.8,(X),(X)
0500000US05119,"Pulaski County, Arkansas",158051,8.3,4.9,10.4,10.8,14.1,17.4,10.7,12.5,5.2,5.8,51749,78246,35.4,(X),(X)
0500000US05121,"Randolph County, Arkansas",7355,7.3,8.9,15.6,15.1,17.2,16.8,7.2,8.3,1.6,1.8,37218,54318,33.7,(X),(X)
