GEOID,County,S1901_C01_001E,S1901_C01_002E,S1901_C01_003E,S1901_C01_004E,S1901_C01_005E,S1901_C01_006E,S1901_C01_007E,S1901_C01_008E,S1901_C01_009E,S1901_C01_010E,S1901_C01_011E,Median_Household_Income,S1901_C01_013E,S1901_C01_014E,S1901_C01_015E,S1901_C01_016E
0500000US51740,"Portsmouth city, Virginia",36370,7.6,4.7,12.1,9.4,14.2,21.6,13.3,11.8,3.0,2.4,52175,63882,49.5,(X),(X)
0500000US51750,"Radford city, Virginia",5573,15.6,10.6,14.2,8.1,11.7,16.8,7.7,11.4,1.8,2.1,36297,56946,33.9,(X),(X)
0500000US51760,"Richmond city, Virginia",90301,11.2,6.4,11.0,10.1,13.3,16.2,10.2,10.5,4.8,6.2,47250,76182,35.9,(X),(X)
0500000US51770,"Roanoke city, Virginia",41740,8.9,8.0,12.3,12.0,15.1,18.2,10.8,8.4,2.7,3.6,44230,60914,42.3,(X),(X)
0500000US51775,"Salem city, Virginia",9912,3.8,3.4,10.3,10.0,14.2,21.2,14.6,14.1,3.5,4.9,57165,78216,39.6,(X),(X)
0500000US51790,"Staunton city, Virginia",10597,5.6,4.4,11.5,11.4,14.6,17.5,13.3,14.6,3.7,3.3,52611,69203,33.8,(X),(X)
0500000US51800,"Suffolk city, Virginia",33774,5.0,3.7,7.9,6.5,10.1,16.9,15.4,20.2,7.9,6.5,74884,92145,30.6,(X),(X)
0500000US51810,"Virginia Beach city, Virginia",170798,3.3,2.0,5.4,7.4,11.7,19.1,15.8,19.9,8.2,7.2,76610,96936,32.5,(X),(X)
0500000US51820,"Waynesboro city, Virginia",9193,6.9,5.9,13.4,14.5,14.7,16.7,10.9,11.2,3.4,2.4,45011,62228,37.3,(X),(X)
0500000US51830,"Williamsburg city, Virginia",4706,9.5,3.2,8.5,8.2,11.6,18.6,11.8,12.4,5.8,10.5,57463,89601,28.5,(X),(X)
0500000US51840,"Winchester city, Virginia",10490,3.6,4.5,8.5,10.6,16.2,20.1,12.4,11.7,5.6,6.8,58818,78498,27.7,(X),(X)
0500000US53001,"Adams County, Washington",5973,8.2,3.9,12.7,8.9,17.1,19.2,12.3,11.7,3.7,2.3,48294,65032,39.6,(X),(X)
0500000US53003,"Asotin County, Washington",9101,4.2,4.5,10.7,11.5,16.1,18.3,13.6,13.8,4.4,2.9,53715,70614,33.9,(X),(X)
0500000US53005,"Benton County, Washington",72121,4.2,3.7,7.8,7.7,11.4,19.4,13.4,18.0,7.6,6.7,69023,87525,27.9,(X),(X)
0500000US53007,"Chelan County, Washington",28384,5.4,2.8,10.1,9.6,14.8,20.0,11.8,14.3,6.3,4.8,58795,79143,35.2,(X),(X)
0500000US53009,"Clallam County, Washington",32958,5.9,5.8,11.0,10.9,14.3,17.7,14.7,12.2,4.7,2.9,52192,67839,35.7,(X),(X)
0500000US53011,"Clark County, Washington",174661,3.5,2.7,6.4,6.6,12.3,18.3,14.9,19.7,8.3,7.4,75253,95792,27.6,(X),(X)
0500000US53013,"Columbia County, Washington",1795,6.2,8.6,10.6,8.1,12.5,16.5,12.9,14.2,4.4,5.9,53423,81135,24.3,(X),(X)
0500000US53015,"Cowlitz County, Washington",41952,6.5,4.2,10.8,10.1,14.3,18.2,14.1,12.9,5.3,3.6,54506,71700,26.4,(X),(X)
0500000US53017,"Douglas County, Washington",15263,3.7,3.4,7.1,9.7,14.8,21.4,14.7,14.9,6.0,4.3,62951,82782,23.4,(X),(X)
0500000US53019,"Ferry County, Washington",3060,9.6,8.0,15.9,9.8,15.3,11.7,9.5,14.1,3.1,2.9,41939,60967,38.5,(X),(X)
0500000US53021,"Franklin County, Washington",26723,4.2,2.9,7.7,9.6,12.5,21.5,14.4,17.2,5.5,4.5,63584,79145,35.3,(X),(X)
0500000US53023,"Garfield County, Washington",984,6.4,2.0,9.5,15.8,12.3,23.1,16.1,12.9,0.5,1.5,55900,60910,32.5,(X),(X)
0500000US53025,"Grant County, Washington",30818,5.1,3.6,9.8,11.4,14.0,20.4,14.3,13.8,4.5,3.3,55556,71451,40.6,(X),(X)
0500000US53027,"Grays Harbor County, Washington",28722,7.3,4.7,11.2,10.7,15.1,19.4,12.9,12.3,3.7,2.7,51240,66880,36.2,(X),(X)
0500000US53029,"Island County, Washington",34768,4.8,2.6,6.4,7.8,12.8,21.0,15.0,17.1,6.6,5.9,68604,86613,31.6,(X),(X)
0500000US53031,"Jefferson County, Washington",14705,7.2,4.8,7.4,10.9,13.1,21.1,12.4,12.9,5.1,4.9,55127,76400,33.1,(X),(X)
0500000US53033,"King County, Washington",882028,4.3,2.6,5.0,5.5,8.7,14.2,12.2,19.2,11.2,17.3,94974,128360,26.0,(X),(X)
0500000US53035,"Kitsap County, Washington",103913,4.3,2.9,6.4,6.8,11.0,18.4,15.4,19.6,7.7,7.6,75411,93122,25.7,(X),(X)
0500000US53037,"Kittitas County, Washington",18347,9.2,5.2,10.3,7.8,13.0,19.1,13.4,13.5,4.8,3.7,56004,70805,36.4,(X),(X)
0500000US53039,"Klickitat County, Washington",8877,7.3,5.6,8.2,11.2,13.9,18.8,13.5,11.9,5.8,3.8,55773,72216,34.2,(X),(X)
0500000US53041,"Lewis County, Washington",30618,6.1,4.8,11.1,9.4,15.1,18.9,14.4,13.3,4.5,2.3,53484,67876,36.6,(X),(X)
0500000US53043,"Lincoln County, Washington",4525,6.3,3.0,10.8,8.8,16.9,20.0,12.1,13.7,6.4,1.9,54631,67879,44.5,(X),(X)
0500000US53045,"Mason County, Washington",24278,6.3,3.6,9.9,10.1,12.1,20.6,13.7,15.0,5.4,3.3,57634,72026,29.7,(X),(X)
0500000US53047,"Okanogan County, Washington",17675,6.2,7.5,12.7,10.6,16.0,21.1,10.3,10.7,2.7,2.0,47240,59547,30.7,(X),(X)
0500000US53049,"Pacific County, Washington",9279,8.2,6.8,12.1,11.6,15.6,16.9,12.0,11.6,3.7,1.6,46733,58738,28.5,(X),(X)
0500000US53051,"Pend Oreille County, Washington",5727,7.1,5.8,8.4,11.9,16.0,20.0,13.4,9.7,5.0,2.7,50591,64996,37.8,(X),(X)
0500000US53053,"Pierce County, Washington",323296,4.5,2.9,6.4,7.5,11.9,18.9,14.7,18.9,7.7,6.5,72113,90659,31.5,(X),(X)
0500000US53055,"San Juan County, Washington",8252,5.7,3.3,8.5,9.2,12.7,18.1,12.7,15.6,5.7,8.5,63622,94382,32.1,(X),(X)
0500000US53057,"Skagit County, Washington",48493,4.9,3.3,7.5,7.9,13.6,18.6,16.1,16.2,6.6,5.3,67028,84676,29.9,(X),(X)
0500000US53059,"Skamania County, Washington",4816,5.3,5.5,8.5,7.7,11.3,19.5,11.9,21.5,5.5,3.2,65181,77041,34.3,(X),(X)
